employeeId,date,LeaveKey
13,1/2/2015,2
50,1/2/2015,2
255,1/2/2015,2
89,1/2/2015,1
287,1/2/2015,2
110,1/2/2015,2
9,1/2/2015,2
36,1/2/2015,2
30,1/2/2015,1
116,1/2/2015,1
274,1/2/2015,2
207,1/2/2015,1
351,1/2/2015,1
171,1/2/2015,2
84,1/2/2015,1
79,1/2/2015,2
451,1/2/2015,1
316,1/2/2015,1
324,1/2/2015,1
307,1/2/2015,1
589,1/2/2015,1
1146,1/2/2015,2
95,1/2/2015,1
268,1/2/2015,1
500,1/2/2015,1
699,1/2/2015,1
609,1/2/2015,2
339,1/2/2015,1
964,1/2/2015,1
1641,1/2/2015,2
438,1/2/2015,1
468,1/2/2015,2
581,1/2/2015,2
952,1/2/2015,1
660,1/2/2015,1
476,1/2/2015,1
1064,1/2/2015,2
1680,1/2/2015,1
527,1/2/2015,1
579,1/2/2015,1
751,1/2/2015,2
1233,1/2/2015,1
824,1/2/2015,2
490,1/2/2015,1
1189,1/2/2015,1
1816,1/2/2015,1
538,1/2/2015,1
672,1/2/2015,2
1100,1/2/2015,1
1284,1/2/2015,1
1191,1/2/2015,1
707,1/2/2015,1
1287,1/2/2015,1
1850,1/2/2015,1
552,1/2/2015,1
722,1/2/2015,1
1517,1/2/2015,2
1350,1/2/2015,1
1260,1/2/2015,1
708,1/2/2015,2
1398,1/2/2015,1
1973,1/2/2015,1
756,1/2/2015,1
822,1/2/2015,2
1534,1/2/2015,1
1535,1/2/2015,2
1295,1/2/2015,2
725,1/2/2015,1
1421,1/2/2015,1
2016,1/2/2015,1
838,1/2/2015,1
1029,1/2/2015,2
1587,1/2/2015,1
1537,1/2/2015,2
2095,1/2/2015,2
994,1/2/2015,1
1496,1/2/2015,2
2275,1/2/2015,2
856,1/2/2015,1
1165,1/2/2015,1
1621,1/2/2015,1
1601,1/2/2015,1
2481,1/2/2015,1
1411,1/2/2015,2
1632,1/2/2015,2
2341,1/2/2015,2
920,1/2/2015,1
1290,1/2/2015,1
1968,1/2/2015,2
1720,1/2/2015,2
2563,1/2/2015,1
1726,1/2/2015,1
1959,1/2/2015,1
2352,1/2/2015,2
945,1/2/2015,1
1865,1/2/2015,1
2406,1/2/2015,1
1835,1/2/2015,1
2963,1/2/2015,1
1762,1/2/2015,1
2302,1/2/2015,1
2475,1/2/2015,2
1299,1/2/2015,1
2151,1/2/2015,2
2606,1/2/2015,1
1988,1/2/2015,2
3299,1/2/2015,1
1943,1/2/2015,1
2432,1/2/2015,1
2711,1/2/2015,1
1431,1/2/2015,2
2251,1/2/2015,1
2721,1/2/2015,2
2069,1/2/2015,1
3300,1/2/2015,1
2261,1/2/2015,1
2491,1/2/2015,2
2909,1/2/2015,1
1456,1/2/2015,1
2551,1/2/2015,1
2972,1/2/2015,1
2152,1/2/2015,1
3382,1/2/2015,1
2529,1/2/2015,1
2566,1/2/2015,2
3143,1/2/2015,1
1631,1/2/2015,1
2733,1/2/2015,1
3240,1/2/2015,2
2205,1/2/2015,1
3499,1/2/2015,1
2680,1/2/2015,1
2659,1/2/2015,1
3445,1/2/2015,1
2124,1/2/2015,1
2751,1/2/2015,2
3459,1/2/2015,2
2271,1/2/2015,2
3531,1/2/2015,1
2915,1/2/2015,2
2968,1/2/2015,1
3513,1/2/2015,1
2342,1/2/2015,1
2887,1/2/2015,1
3523,1/2/2015,1
2488,1/2/2015,2
3882,1/2/2015,1
2983,1/2/2015,1
3000,1/2/2015,2
3613,1/2/2015,1
2399,1/2/2015,1
2962,1/2/2015,2
3659,1/2/2015,1
2605,1/2/2015,1
4200,1/2/2015,2
3984,1/2/2015,2
3104,1/2/2015,1
3677,1/2/2015,2
2474,1/2/2015,2
3312,1/2/2015,2
3874,1/2/2015,2
2673,1/2/2015,1
4236,1/2/2015,2
4252,1/2/2015,2
3234,1/2/2015,1
3820,1/2/2015,1
2624,1/2/2015,1
3462,1/2/2015,1
3925,1/2/2015,1
2739,1/2/2015,2
2860,1/2/2015,1
4387,1/2/2015,1
3295,1/2/2015,2
3945,1/2/2015,1
3067,1/2/2015,1
3637,1/2/2015,2
3974,1/2/2015,1
2841,1/2/2015,2
3385,1/2/2015,1
3737,1/2/2015,1
3570,1/2/2015,1
4281,1/2/2015,1
3496,1/2/2015,1
3805,1/2/2015,1
4110,1/2/2015,1
2922,1/2/2015,1
3503,1/2/2015,2
4130,1/2/2015,1
3597,1/2/2015,2
4322,1/2/2015,2
3639,1/2/2015,1
4162,1/2/2015,2
4293,1/2/2015,1
2990,1/2/2015,1
3689,1/2/2015,1
3041,1/2/2015,1
3772,1/2/2015,1
3188,1/2/2015,1
4182,1/2/2015,1
3341,1/2/2015,2
4308,1/2/2015,1
3422,1/2/2015,2
4196,1/2/2015,2
3458,1/2/2015,1
4357,1/2/2015,1
3539,1/2/2015,1
3609,1/2/2015,1
3926,1/2/2015,2
4326,1/2/2015,1
3770,1/5/2015,1
3801,1/5/2015,1
4218,1/5/2015,1
4354,1/5/2015,1
4291,1/5/2015,1
4366,1/5/2015,1
4407,1/5/2015,1
4058,1/5/2015,2
3704,1/5/2015,1
3901,1/5/2015,1
4286,1/5/2015,1
3856,1/5/2015,1
3842,1/5/2015,1
3755,1/5/2015,1
4157,1/5/2015,1
3456,1/5/2015,1
3806,1/5/2015,2
2997,1/5/2015,1
4368,1/5/2015,1
3788,1/5/2015,2
3793,1/5/2015,1
3898,1/5/2015,1
4171,1/5/2015,1
3239,1/5/2015,1
3604,1/5/2015,2
3115,1/5/2015,1
4186,1/5/2015,1
3522,1/5/2015,2
3423,1/5/2015,1
4037,1/5/2015,1
3989,1/5/2015,1
3256,1/5/2015,1
3938,1/5/2015,1
3165,1/5/2015,1
3364,1/5/2015,1
3179,1/5/2015,1
3223,1/5/2015,1
3405,1/5/2015,1
4107,1/5/2015,1
3073,1/5/2015,1
4140,1/5/2015,1
2966,1/5/2015,2
3096,1/5/2015,1
2543,1/5/2015,2
3359,1/5/2015,1
3326,1/5/2015,2
3589,1/5/2015,1
3107,1/5/2015,1
3263,1/5/2015,2
3516,1/5/2015,1
3100,1/5/2015,1
2641,1/5/2015,1
3072,1/5/2015,1
2544,1/5/2015,2
3153,1/5/2015,1
2888,1/5/2015,1
3134,1/5/2015,2
2461,1/5/2015,1
3131,1/5/2015,2
2343,1/5/2015,1
3106,1/5/2015,1
2501,1/5/2015,1
2649,1/5/2015,2
2671,1/5/2015,2
2995,1/5/2015,1
2279,1/5/2015,1
2796,1/5/2015,1
2252,1/5/2015,2
2319,1/5/2015,2
2583,1/5/2015,1
2510,1/5/2015,1
2654,1/5/2015,1
2936,1/5/2015,1
2247,1/5/2015,1
2849,1/5/2015,1
2243,1/5/2015,1
2487,1/5/2015,2
2619,1/5/2015,2
1906,1/5/2015,1
2556,1/5/2015,1
2925,1/5/2015,1
2161,1/5/2015,1
2749,1/5/2015,1
1680,1/5/2015,2
2506,1/5/2015,1
2626,1/5/2015,1
1624,1/5/2015,2
2254,1/5/2015,1
4297,1/5/2015,2
1793,1/5/2015,1
2763,1/5/2015,2
1675,1/5/2015,1
2053,1/5/2015,1
2165,1/5/2015,2
1817,1/5/2015,2
2220,1/5/2015,1
2659,1/5/2015,2
1479,1/5/2015,1
2431,1/5/2015,2
1639,1/5/2015,1
1568,1/5/2015,2
2001,1/5/2015,1
1381,1/5/2015,1
2237,1/5/2015,1
2766,1/5/2015,1
1493,1/5/2015,1
2028,1/5/2015,1
1714,1/5/2015,2
1585,1/5/2015,1
1883,1/5/2015,1
1131,1/5/2015,1
2120,1/5/2015,1
2591,1/5/2015,1
1594,1/5/2015,1
2114,1/5/2015,1
1605,1/5/2015,2
1651,1/5/2015,2
1683,1/5/2015,1
806,1/5/2015,1
1937,1/5/2015,2
2502,1/5/2015,1
1007,1/5/2015,1
1746,1/5/2015,1
1112,1/5/2015,1
1819,1/5/2015,2
1304,1/5/2015,1
109,1/5/2015,1
1786,1/5/2015,1
2366,1/5/2015,2
726,1/5/2015,2
1124,1/5/2015,2
746,1/5/2015,1
